,State Code,longitude,latitude,Courses Available
32629,NY,-73.87847,40.75668,17.0
32630,PA,-75.14243,40.046075,19.0
32631,FL,-82.35418,27.84761,39.0
32632,NC,-81.22605,35.26102,20.0
32633,NJ,-75.04741,39.4894,58.0
32634,WA,-119.547,47.31456,20.0
32635,VA,-77.494,38.34486,24.0
32636,NY,-77.45171,43.21007,24.0
32637,NY,-73.94605,40.80819,20.0
32638,NY,-73.86052,40.730865,20.0
32639,IL,-88.841315,42.239645,49.0
32640,TN,-84.574126,35.917845,24.0
32641,OH,-82.450565,40.400565,27.0
32642,NY,-73.965585,41.365365,96.0
32643,IN,-87.2983,41.472905,20.0
32644,GA,-83.244045,33.459075,20.0
32645,TX,-95.123945,29.788865,24.0
32646,VA,-79.8092,37.81646,20.0
32647,WA,-122.336475,48.47113,24.0
32648,NV,-115.319565,36.160925,48.0
32649,VA,-77.35674,37.53117,48.0
32650,NC,-77.35762,35.567055,20.0
32651,CA,-122.03215,37.04658,23.0
32652,TX,-97.36934,31.06396,47.0
32653,NJ,-73.975495,40.89664,35.0
32654,NC,-82.4671,35.32055,138.0
32655,IA,-93.61907,42.02,80.0
32656,NM,-106.65848,35.20506,48.0
32657,TX,-95.63957,30.09141,24.0
32658,GA,-83.88404,32.55541,96.0
32659,IL,-87.63513,41.88344,24.0
32660,NY,-79.313065,42.453875,20.0
32661,KY,-85.71703,38.2111,24.0
32662,TN,-83.866795,36.031445,46.0
32663,CA,-122.36097,37.93748,47.0
32664,NY,-74.023087,41.10466,12.0
32665,PA,-75.08935,39.990785,24.0
32666,GA,-83.46772,32.283,40.0
32667,IL,-88.14172,42.05284,7.0
32668,PA,-80.17296,39.8918,40.0
32669,AZ,-111.709533,33.28728,13.0
32670,OK,-96.6995,36.11501,20.0
32671,NY,-73.82667,40.8683,48.0
32672,FL,-82.33919,29.68894,24.0
32673,FL,-82.61381,28.01563,48.0
32674,LA,-93.26931,32.621015,72.0
32675,OH,-81.73684,41.05479,51.0
32676,MI,-82.91382,42.39089,24.0
32677,CA,-122.75285,38.45159,24.0
32678,TX,-95.596881,33.122065,20.0
32679,PA,-80.03558,40.54795,24.0
32680,PA,-77.652955,39.911075,20.0
32681,TX,-93.93629,29.938705,1.0
32682,VT,-72.9559,43.59691,70.0
32683,VA,-77.39804,38.87895,24.0
32684,WA,-118.34814,46.04861,19.0
32685,NC,-79.95114,35.90179,19.0
32686,PA,-75.11174,40.0116,20.0
32687,CA,-117.995523,33.73624,20.0
32688,NC,-78.57027,35.60301,20.0
32689,CA,-117.06848,32.61328,58.0
32690,CA,-122.14035,37.65039,20.0
32691,TX,-96.258365,30.55796,277.0
32692,IL,-88.320235,41.722455,543.0
32693,TX,-98.4799,29.35289,15.0
32694,TX,-96.261165,30.559435,0.0
32695,KY,-85.661275,38.2531,94.0
32696,NC,-78.57963,35.68748,24.0
32697,NC,-78.877785,35.744885,17.0
32698,AK,-149.88283,61.19273,24.0
32699,VA,-76.07152,36.82356,20.0
32700,PA,-75.34518,39.87653,24.0
32701,CA,-121.81945,37.35426,60.0
32702,CT,-73.44778,41.390845,46.0
32703,IL,-90.5576,41.49385,20.0
32704,MI,-83.72948,42.284575,79.0
32705,NC,-77.84272,35.97894,60.0
32706,MS,-90.39943,31.876,20.0
32707,NC,-77.88081,34.24894,20.0
32708,TX,-97.002395,28.801345,345.0
32709,PA,-77.83605,40.78518,17.0
32710,MN,-96.516735,47.299555,40.0
32711,PA,-75.16627,39.99554,20.0
32712,RI,-71.38512,41.87662,72.0
32713,FL,-81.282015,28.75989,51.0
32714,WI,-87.96767,43.01425,20.0
32715,MS,-90.17315,32.40526,71.0
32716,KS,-94.78043,38.85518,20.0
32717,MA,-71.211337,42.3182,21.0
32718,CT,-72.829162,41.275005,24.0
32719,NC,-80.81753,35.05804,31.0
32720,PA,-77.27391,41.20155,38.0
32721,MA,-70.9216,41.68133,120.0
32722,TX,-95.26636,29.47325,19.0
32723,CA,-119.7866,36.84706,24.0
32724,TX,-98.710148,29.493245,24.0
32725,KY,-86.26553,37.48469,20.0
32726,VA,-76.37593,37.04461,24.0
32727,WI,-87.89736,43.6988,20.0
32728,IL,-90.08144,38.86505,40.0
32729,TX,-96.346725,30.655925,19.0
32730,TX,-97.796667,30.475895,19.0
32731,SC,-82.15663,34.17519,30.0
32732,FL,-83.87006,30.55825,36.0
32733,TX,-96.76974,32.92659,20.0
32734,AK,-149.36406,61.56865,48.0
32735,SC,-78.73215,33.80114,24.0
32736,AL,-85.45099,31.23223,48.0
32737,ND,-100.44986,48.82902,3.0
32738,PA,-80.05381,40.62135,19.0
32739,MA,-72.32917,42.15746,7.0
32740,IA,-95.06543,41.90845,40.0
32741,FL,-80.235605,27.24533,24.0
32742,OK,-97.566905,35.51315,24.0
32743,WV,-81.73793,38.358135,20.0
32744,NE,-103.66489,41.88717,18.0
32745,KY,-84.45283,39.03155,20.0
32746,MD,-77.405,39.44836,52.0
32747,NJ,-75.002223,39.73682,20.0
32748,AR,-93.03747,34.4875,24.0
32749,NC,-77.04016,35.547595,24.0
32750,PA,-75.947351,41.529535,98.0
32751,CA,-117.09705,33.51775,24.0
32752,FL,-80.14593,26.57214,24.0
32753,TN,-86.40209,35.790055,
32754,CA,-121.45494,38.547885,187.0
32755,PR,-66.298912,17.963689,24.0
32756,MA,-73.258475,42.447455,24.0
32757,NC,-78.486655,35.79904,17.0
32758,NY,-74.85657,43.04401,24.0
32759,NY,-73.98561,40.77807,46.0
32760,NY,-75.334525,43.48461,48.0
32761,FL,-80.18463,26.20051,320.0
32762,SD,-98.346,43.3249,27.0
32763,NC,-80.9193,35.22485,45.0
32764,LA,-90.019935,29.9114,39.0
32765,PA,-75.06338,40.034795,24.0
32766,NJ,-74.01,40.28,40.0
32767,NC,-82.53624,35.44886,20.0
32768,NJ,-74.06237,40.95628,15.0
32769,CA,-117.18245,33.56914,24.0
32770,WA,-122.60675,47.36072,20.0
32771,NV,-119.21666,39.60972,19.0
32772,TX,-99.78328,29.20959,20.0
32773,FL,-82.31031,26.935125,17.0
32774,AL,-86.21299,32.36683,20.0
32775,PA,-76.306205,40.064535,24.0
32776,LA,-92.091081,32.085322,4.0
